filename;compressed_size;uncompressed_size
10682.json;450158;5692100
10683.json;491109;5968632
10684.json;267494;5378513
10685.json;328131;5531517
10686.json;416499;5656168
10687.json;353199;5635812
10688.json;328088;5460250
10689.json;334530;5400805
1068.json;456236;6493065
10690.json;400798;5812232
10691.json;400460;5470637
10692.json;313443;5376726
10693.json;241478;5211626
10694.json;243859;5213883
10695.json;246266;5211773
10696.json;395238;5765385
10697.json;424451;5716079
10698.json;314252;5320791
10699.json;423652;5633615
1069.json;475873;6403874
106.json;195177;3870489
10700.json;383977;5657847
10701.json;418686;5566317
10702.json;407371;5687859
10703.json;444835;5825337
10704.json;424448;5585692
10705.json;303326;4505798
10706.json;361774;5660157
10707.json;424925;5704874
10708.json;494198;5950847
10709.json;352535;5475177
1070.json;503643;6482176
10710.json;408756;5667283
10711.json;416844;5855326
10712.json;214442;3890430
10713.json;262636;4308204
10714.json;410744;5464661
10715.json;475949;5765636
10716.json;451473;5668569
10717.json;376365;5500703
10718.json;527532;5941980
10719.json;377216;5512627
1071.json;486741;6507593
10720.json;523543;5967036
10721.json;434321;4609940
10722.json;369807;5957926
10723.json;425399;5742843
10724.json;392636;5503827
10725.json;423753;5836622
10726.json;700255;6342672
10727.json;390086;5793509
10728.json;363417;5972892
10729.json;446412;5973611
1072.json;465569;6521444
10730.json;395086;5779282
10731.json;436060;5862513
10732.json;460570;5780444
10733.json;383023;5480963
10734.json;336340;5323509
10735.json;334387;5448988
10736.json;247272;5164783
10737.json;441233;5723219
10738.json;513925;5916871
10739.json;440345;5658297
1073.json;488613;6521981
10740.json;407269;5500575
10741.json;368304;5657106
10742.json;416086;5495782
10743.json;375284;5420125
10744.json;411616;5582032
10745.json;282877;5494692
10746.json;334147;5755270
10747.json;319009;5859553
10748.json;278063;5450923
10749.json;390413;5608917
1074.json;491180;6411146
10750.json;337242;5494220
10751.json;333310;4884507
10752.json;494947;6216474
10753.json;512631;6447115
10754.json;431460;6073080
10755.json;502389;6342416
10756.json;353529;5351878
10757.json;300068;5430942
10758.json;407506;5601340
10759.json;640825;6767872
1075.json;487936;6646190
10760.json;433284;5933842
10761.json;321511;5392528
10762.json;287866;5328368
10763.json;255393;5119000
10764.json;324437;5459148
10765.json;377766;5400795
10766.json;272602;5043607
10767.json;313856;5497162
10768.json;385895;5904226
10769.json;605198;7181525
1076.json;481564;6490699
10770.json;790745;8402081
10771.json;689424;7882543
10772.json;873313;8998369
10773.json;442878;6417866
10774.json;269869;5227021
10775.json;253856;5193438
10776.json;247362;5183347
10777.json;407606;5735112
10778.json;651183;7677900
10779.json;504161;6300002
1077.json;491204;6539105
10780.json;409149;5525401
10781.json;364406;5370354
10782.json;341694;4988612
10783.json;357212;5240116
10784.json;354836;5472531
10785.json;404917;5605447
10786.json;422223;6060593
10787.json;344209;5742685
10788.json;375248;5564873
10789.json;439533;5739823
1078.json;491158;6756724
10790.json;1680248;10414387
10791.json;470286;5686427
10792.json;516122;5904627
10793.json;456043;5742337
10794.json;389724;5529673
10795.json;355208;5508326
10796.json;404777;5678124
10797.json;400223;5531232
10798.json;405519;5590806
10799.json;384370;5554780
1079.json;482432;6679001
107.json;194287;3858087
10800.json;449138;5769532
10801.json;423063;6025633
10802.json;457395;6083520
10803.json;451905;5944777
10804.json;356903;5592997
10805.json;343166;5597156
10806.json;363262;5611259
10807.json;419757;5694856
10808.json;453754;5708742
10809.json;292565;4224646
1080.json;496593;6660112
10810.json;408763;5652319
10811.json;302104;5229201
10812.json;414481;5575236
10813.json;431173;5657419
10814.json;448525;5888759
10815.json;427933;5830856
10816.json;408243;5701701
10817.json;392005;5620684
10818.json;358423;5527910
10819.json;375545;5442444
1081.json;510526;6695249
10820.json;381120;5789591
10821.json;391541;5901206
10822.json;389618;5926258
10823.json;428236;5999570
10824.json;466953;5612977
10825.json;302516;5061511
10826.json;382967;5705472
10827.json;407038;5628186
10828.json;395616;5576376
10829.json;699659;6838374
1082.json;512265;6757212
10830.json;405699;5252664
10831.json;526972;6463904
10832.json;417783;5676935
10833.json;555788;6298929
10834.json;614361;6610176
10835.json;584930;6555932
10836.json;291988;5329822
10837.json;313740;5444907
10838.json;334368;5410438
10839.json;459537;6176041
1083.json;532404;6788412
10840.json;580063;7146908
10841.json;545775;7271323
10842.json;519350;7108297
10843.json;575373;7274789
10844.json;610235;7397748
10845.json;606758;7300867
10846.json;595690;7401216
10847.json;603426;7326810
10848.json;631629;7354563
10849.json;561056;7172266
1084.json;543669;6797471
10850.json;556858;7300642
10851.json;559724;6871378
10852.json;477728;6508435
10853.json;510603;6883108
10854.json;353902;5791372
10855.json;285688;5990559
10856.json;484188;6836868
10857.json;485769;6384412
10858.json;831402;8441775
10859.json;1516034;11467958
1085.json;509158;6466067
10860.json;266436;5292202
10861.json;312243;5344048
10862.json;340587;5447228
10863.json;364586;5521864
10864.json;291941;5563002
10865.json;392723;6267124
10866.json;882431;8170408
10867.json;445706;5803511
10868.json;332584;5587801
10869.json;282179;5387653
1086.json;511524;6345829
10870.json;300680;5444122
10871.json;352100;5592098
10872.json;398779;5822529
10873.json;268417;5502770
10874.json;368971;5998430
10875.json;379493;6100425
10876.json;368533;5703587
10877.json;364771;5669614
10878.json;376792;5958967
10879.json;356605;5668711
1087.json;498351;6321274
10880.json;386834;5712901
10881.json;359167;5653599
10882.json;583907;7279415
10883.json;368890;5809079
10884.json;397961;5984638
10885.json;347505;5493060
10886.json;340632;5488635
10887.json;413461;6194357
10888.json;429970;6415643
10889.json;364331;6209874
1088.json;510740;6508184
10890.json;363696;5339497
10891.json;300321;4531510
10892.json;369846;5616871
10893.json;351973;5507046
10894.json;267320;5471572
10895.json;315195;5598044
10896.json;269727;5412915
10897.json;325037;5484837
10898.json;379403;5621940
10899.json;307186;5384818
1089.json;504960;6490397
108.json;196928;3876836
10900.json;380808;5639556
10901.json;369316;5582062
10902.json;359797;5502508
10903.json;336766;4786915
10904.json;341844;5647175
10905.json;330104;5558208
10906.json;1227375;10257583
10907.json;478130;6023445
10908.json;521737;5581481
10909.json;301425;4304839
1090.json;506837;6548107
10910.json;452530;5820477
10911.json;443039;6003359
10912.json;446588;5946420
10913.json;407818;6176867
10914.json;368578;5530756
10915.json;359712;5506531
10916.json;385642;5476977
10917.json;370236;5668481
10918.json;351086;5831387
10919.json;456167;5940320
1091.json;513459;6805248
10920.json;401918;5654867
10921.json;330908;5441952
10922.json;344623;5847558
10923.json;342596;5773183
10924.json;391482;5729311
10925.json;431450;5823814
10926.json;406555;5955193
10927.json;480024;6143979
10928.json;381846;5233378
10929.json;435741;5832959
1092.json;518233;6779867
10930.json;366061;5649529
10931.json;377191;5722830
10932.json;423323;5845960
10933.json;404275;5953816
10934.json;438156;5989938
10935.json;391265;5795770
10936.json;441558;5895762
10937.json;443166;5835000
10938.json;325457;5504962
10939.json;453314;5904045
1093.json;502849;6730726
10940.json;408308;5723974
10941.json;372353;5547038
